Código del Pozo,Base Operativa,Longitud,Latitud
FV002,PAFV,-58.2787543949,-34.8073185643
FV003,PAFV,-58.271669,-34.804203
FV004,PAFV,-58.2671514614,-34.8035242186
FV005,PAFV,-58.2791473591,-34.7988825659
FV006,PAFV,-58.2832148394,-34.8142616109
FV007,PAFV,-58.256811,-34.830763
FV009,PAFV,-58.2659537933,-34.8357148856
FV011,PAFV,-58.27561,-34.817853
FV013,PAFV,-58.2832875146,-34.8224048825
FV014,PAFV,-58.267996181,-34.8109975621
FV018,PAFV,-58.2771460769,-34.8301246858
FV019,PAFV,-58.2728757635,-34.8325605333
FV020,PAFV,-58.2767820242,-34.8243175201
FV021,PAFV,-58.2803366318,-34.8531952743
FV022,PAFV,-58.285536,-34.856139
FV023,PAFV,-58.2895082067,-34.8580380952
FV024,PAFV,-58.2783582291,-34.8583095585
FV025,PAFV,-58.28392,-34.860705
FV026,PAFV,-58.2965602827,-34.7975641108
FV027,PAFV,-58.3010246875,-34.8055477448
FV028,PAFV,-58.2951529025,-34.8036061523
FV029,PAFV,-58.287132,-34.800048
FV030,PAFV,-58.2775792518,-34.8473306947
FV031,PAFV,-58.2735852609,-34.8446149027
FV032,PAFV,-58.2680594123,-34.8415885189
FV033,PAFV,-58.2630031426,-34.8396272193
FV034,PAFV,-58.2746791584,-34.8503732546
FV036,PAFV,-58.2770032651,-34.8637657636
FV037,PAFV,-58.275959,-34.868434
FV038,PAFV,-58.2792900522,-34.8672910295
FV040,PAFV,-58.294963,-34.861775
FV041,PAFV,-58.2688055489,-34.8617806566
FV042,PAFV,-58.2720497654,-34.8583519925
FV045,PAFV,-58.2604360835,-34.8508486285
FV046,PAFV,-58.264337,-34.803932
FV047,PAFV,-58.2464573771,-34.8064453754
FV048,PAFV,-58.2435392159,-34.8047553117
FV049,PAFV,-58.2173280997,-34.8102604617
FV050,PAFV,-58.2773819525,-34.8554703572
FV051,PAFV,-58.2540004176,-34.8403733001
FV052,PAFV,-58.2693467558,-34.8473895072
FV053,PAFV,-58.2650740431,-34.8462082668
FV055,PAFV,-58.2466341134,-34.8206332639
FV057,PAFV,-58.2551635913,-34.8355092291
FV058,PAFV,-58.225417578,-34.8134355377
FV059,PAFV,-58.2303906916,-34.8108142112
FV060,PAFV,-58.2450062577,-34.800771907
FV062,PAFV,-58.2772670225,-34.8389035952
FV063,PAFV,-58.2776377387,-34.8352603106
FV064,PAFV,-58.291667,-34.865341
FV065,PAFV,-58.27552051,-34.87227119
FV066,PAFV,-58.276309,-34.876546
FV067,PAFV,-58.2203647703,-34.8634006099
FV068,PAFV,-58.217601276,-34.8606910293
FV069,PAFV,-58.2143989721,-34.8579952708
FV070,PAFV,-58.2106925919,-34.8581119321
FV071,PAFV,-58.265877,-34.82104
FV072,PAFV,-58.2721488305,-34.7832663061
FV073,PAFV,-58.2743038846,-34.7826998862
FV074,PAFV,-58.2778560416,-34.7808701565
FV078,PAFV,-58.291558,-34.831889
FV079,PAFV,-58.297856,-34.83516
FV080,PAFV,-58.3032614115,-34.8101371843
FV082,PAFV,-58.320562,-34.803141
FV084,PAFV,-58.2652412096,-34.9028991556
FV085,PAFV,-58.2644774191,-34.893080146
FV086,PAFV,-58.2650925017,-34.8851416204
FV087,PAFV,-58.266466915,-34.8784764608
FV088,PAFV,-58.2601839707,-34.8769434792
FV089,PAFV,-58.2540929859,-34.8669530961
FV090,PAFV,-58.2547778771,-34.8828778055
FV092,PAFV,-58.2502808471,-34.8738043469
FV093,PAFV,-58.2361010781,-34.8761900161
FV094,PAFV,-58.2411587222,-34.8646098539
FV095,PAFV,-58.2882158007,-34.8472230687
FV096,PAFV,-58.2902606689,-34.8242938089
FV098,PAFV,-58.2196524499,-34.8080527153
FV100,PAFV,-58.2587158381,-34.8101972741
FV102,PAFV,-58.2998551396,-34.8155539275
FV103,PAFV,-58.2823948595,-34.8449181267
FV104,PAFV,-58.256603,-34.846101
FV105,PAFV,-58.301665,-34.818691
FV106,PAFV,-58.308124476,-34.8224813806
FV108,PAFV,-58.2710065266,-34.8715032678
FV109,PAFV,-58.2816780115,-34.8732407244
FV110,PAFV,-58.320265,-34.817432
